**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,**Répartition Mensuelle** vous aide à diviser le Budget / la Cible sur plusieurs mois si vous avez de la saisonnalité dans votre entreprise.,
- Event cancelled by Google Calendar.,- Réservation annulée par Google Agenda,
- Event deleted from Google Calendar.,- Evénements supprimés par Google Agenda.,
- Gross,- Brut,
- Net,- Net,
1 Loyalty Points = How much base currency?,1 point de fidélité = Quel montant en devise de base ?,
1 exact match.,1 correspondance exacte.,
15th day of the month,15 du mois,
194A,194A,
194C,194C,
194D,194D,
194H,194H,
194I,194I,
194J,194J,
194LA,194LA,
194LBB,194LBB,
194LBC,194LBC,
1st day of the month,1er jour du mois,
2 Yearly,2 ans,
90-Above,90-Dessus,
<b>Company</b> is a mandatory filter.,<b>Société</b> est un filtre obligatoire.,
<b>Example:</b> SAL-{first_name}-{date_of_birth.year} <br>This will generate a password like SAL-Jane-1972,<b>Exemple:</b> SAL-{first_name}-{date_of_birth.year} <br>Ceci générera un mot de passe de la forme SAL-Jane-1972,
<b>From Date</b> is a mandatory filter.,<b>Date de début</b> est un filtre obligatoire.,
<b>From Time</b> cannot be later than <b>To Time</b> for {0},<b>La date de début</b> ne peut pas être après la <b>date de fin</b> pour {0},
<b>To Date</b> is a mandatory filter.,<b>Date de fin</b> est un filtre obligatoire.,
"A BOM with name {0} already exists for item {1}.
					<br> Did you rename the item? Please contact Administrator / Tech support
				",Une nomenclature avec le nom {0} existe déjà pour l'article {1}. Avez vous renommé l'article ? Veuillez contacter votre administrateur / support technique.,
A Customer Group exists with same name please change the Customer name or rename the Customer Group,"Un groupe de clients existe avec le même nom, veuillez changer le nom du client ou renommer le Groupe de clients",
A Default Service Level Agreement already exists.,Un accord de niveau de service par défaut existe déjà.,
A Distributed Cost Center cannot be added in the Distributed Cost Center allocation table.,Un centre de coûts distribué ne peut pas être ajouté dans la table d'allocation des centres de coûts distribués.,
A Lead requires either a person's name or an organization's name,Il faut au moins un nom de personne physique ou d'organisation dans un prospect.,
"A Product or a Service that is bought, sold or kept in stock.","Un Produit ou un Service qui est acheté, vendu ou conservé en stock.",
A Product,Un Produit,
A bank transaction exists already with the same reference number for this bank account,Une transaction bancaire existe déjà avec le même numéro de référénce pour ce compte bancaire.,
A condition for a Shipping Rule,Une condition pour une règle de livraison,
A customer with the same name already exists,Un client avec un nom identique existe déjà,
A logical Warehouse against which stock entries are made.,Un Entrepôt logique dans lequel les entrées en stock sont faites.,
A new appointment has been created for you on {},Un nouveau rendez-vous a été créé pour vous sur {},
A new appointment has been created for you with {0},Un nouveau rendez-vous a été créé pour vous avec {1},
A paid payment request exists already for {0},Une demande de paiement payée existe déjà pour {0},
A payment entry for this reference exists already,Une écriture de paiement pour ce document de référence existe déjà,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,Un tiers distributeur / commerçant / commissionnaire / affilié / revendeur qui vend les produits de l'entreprise en échange d'une commission.,
A {0} exists between {1} and {2} (,Un·e {0} existe entre {1} et {2} (,
A+,A +,
A-,A-,
A4,A4,
AB+,AB+,
AB-,AB-,
ACC-AML-.YYYY.-,ACC-AML-.YYYY.-,
ACC-ASM-.YYYY.-,ACC-ASM-.YYYY.-,
ACC-ASR-.YYYY.-,ACC-ASR-.AAAA.-,
ACC-ASS-.YYYY.-,ACC-ASS-YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-,
ACC-CF-.YYYY.-,ACC-CF-.YYYY.-,
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.YYYY.-,
ACC-PRQ-.YYYY.-.MM.-.DD.-,ACC-PRQ-.YYYY.-.MM.-.DD.-,
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.YYYY.-,
ACC-SEPA-.YYYY.-,ACC-SEPA-.YYYY.-,
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-,
ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYYY.-,
ACC-SUB-.YYYY.-.#####,ACC-SUB-.YYYY.-.#####,
AE,AE,
AMC Expiry Date,Date d'Expiration CMA,
API Endpoint,Endpoint API,
API Key,Clé API,
API Secret Key,Clé secrète d’API,
API Token,Jeton API,
API consumer key,Clé de consommateur API,
API consumer secret,Secret de consommateur API,
API,API,
ATT-,ATT-,
AU,AU,
AWS Access Key ID,ID de clé d'accès AWS,
Abbr can not be blank or space,L'abréviation ne peut être vide ou contenir un espace,
Abbr,Abréviation,
Abbreviation already used for another company,Abréviation déjà utilisée pour une autre société,
Abbreviation cannot have more than 5 characters,L'abbréviation ne peut pas avoir plus de 5 caractères,
Abbreviation is mandatory,L'abréviation est obligatoire,
Abbreviation,Abréviation,
Above,Au-dessus,
Absent Days,Jours d'absence,
Absent,Absent,
Acceptance Criteria,Critères d'Acceptation,
Accepted + Rejected Qty must be equal to Received quantity for Item {0},La Qté Acceptée + Rejetée doit être égale à la quantité Reçue pour l'Article {0},
Accepted Qty as per Stock UOM,Quantité acceptée d'après l'unité de mesure du stock,
Accepted Qty,Qté acceptée,
Accepted Quantity,Quantité Acceptée,
Accepted Warehouse,Entrepôt Accepté,
Accepted,Accepté,
Access Token Secret,Secret de jeton d’accès,
Access Token,Jeton d'accès,
Access token or Shopify URL missing,Jeton d'accès ou URL Shopify manquants,
Accessable Value,Valeur accessible,
Account Balance ({0}) and Stock Value ({1}) is out of sync for account {2} and it's linked warehouses.,Le solde comptable ({0}) et la valorisation de stock ({1}) ne sont plus en phase pour le compte {2} et ses entrepôts liés.,
Account Balance ({0}) and Stock Value ({1}) is out of sync for account {2} and linked warehouse ({3}). Please create adjustment Journal Entry for amount {4}.,Le solde comptable ({0}) et la valeur du stock ({1}) sont différents pour le compte {2} et l'entrepôt ({3}). Veuillez créer une écriture de journal d'ajustement pour un montant de {4}.,
Account Balance Out Of Sync,Solde comptable non synchronisé,
Account Balance,Solde du Compte,
Account Currency,Devise du compte,
Account Details,Détails du compte,
Account Head,Compte comptable,
Account Info,Information du Compte,
Account Manager,Responsable du compte,
Account Missing,Compte manquant,
Account Name,Nom du compte,
Account No,N° de compte,
Account Number {0} already used in account {1},Numéro de compte {0} déjà utilisé dans le compte {1},
Account Number,Numéro de compte,
Account Paid From,Compte Payé Du,
Account Paid To,Compte Payé Au,
Account Pay Only,Compte Bénéficiaire Seulement,
Account SID,ID du compte,
Account Subtype,Sous-type de compte,
Account Type for {0} must be {1},Le type de compte pour {0} doit être {1},
Account Type,Type de compte,
Account Value,Valeur du compte,
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","Le solde du compte est déjà Créditeur, vous n'êtes pas autorisé à mettre en 'Solde Doit Être' comme 'Débiteur'",
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'","Le solde du compte est déjà débiteur, vous n'êtes pas autorisé à définir 'Solde Doit Être' comme 'Créditeur'",
Account for Change Amount,Compte pour le rendu de monnaie,
Account for asset depreciation expenses.,Compte de dotations aux amortissements par défaut,
Account for capital work in progress accounting.,Compte d'immobilisations en cours par défaut,
Account is mandatory to get payment entries,Le compte est obligatoire pour obtenir les écritures de paiement,
Account is not set for the dashboard chart {0},Aucun compte défini pour le graphique du tableau de bord {0},
Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,Le numéro de compte du compte {0} n'est pas disponible. <br> Veuillez configurer votre plan de comptes correctement.,
Account to use as default bank account in accounting transactions.,Compte bancaire par défaut dans les transactions comptables,
Account to use as default cash account in accounting transactions.,Compte de caisse par défaut dans les transactions comptables,
Account to use as default inter-bank transfer account in internal transfer payment entries.,Compte de virement interne utilisé dans les écritures de paiement.,
Account with child nodes cannot be converted to ledger,Un compte avec des enfants ne peut pas être converti en grand livre,
Account with child nodes cannot be set as ledger,Les comptes avec des nœuds enfants ne peuvent pas être défini comme grand livre,
Account with existing transaction can not be converted to group.,Un compte contenant une transaction ne peut pas être converti en groupe,
Account with existing transaction can not be deleted,Un compte contenant une transaction ne peut pas être supprimé,
Account with existing transaction cannot be converted to ledger,Un compte contenant une transaction ne peut pas être converti en grand livre,
"Account {0} already exists in child company {1}. The following fields have different values, they should be same:<ul><li>{2}</li></ul>","Le compte {0} existe déjà dans la filiale {1}. Les champs suivants ont des valeurs différentes, elles devraient être identiques:<ul><li>{2}</li></ul>",
Account {0} does not belong to company {1},Le compte {0} n’appartient pas à la société {1},
Account {0} does not belong to company: {1},Le compte {0} n'appartient pas à la société : {1},
Account {0} does not belongs to company {1},Le compte {0} n'appartient pas à la société {1},
Account {0} does not exist,Compte {0} n'existe pas,
Account {0} does not exists in the dashboard chart {1},Le compte {0} n'existe pas dans le graphique du tableau de bord {1},
Account {0} does not exists,Le compte {0} n'existe pas,
Account {0} does not match with Company {1} in Mode of Account: {2},Le Compte {0} ne correspond pas à la Société {1} dans le Mode de Compte : {2},
Account {0} does not match with Company {1},Le Compte {0} ne correspond pas à la Société {1},
Account {0} has been entered multiple times,Le compte {0} a été entré plusieurs fois,
Account {0} is added in the child company {1},Le compte {0} est ajouté dans la société enfant {1},
Account {0} is frozen,Le compte {0} est gelé,
Account {0} is invalid. Account Currency must be {1},Le compte {0} est invalide. La Devise du Compte doit être {1},
Account {0}: Parent account {1} can not be a ledger,Compte {0}: Le Compte parent {1} ne peut pas être un grand livre,
Account {0}: Parent account {1} does not belong to company: {2},Compte {0}: Le Compte parent {1} n'appartient pas à l'entreprise: {2},
Account {0}: Parent account {1} does not exist,Compte {0}: Le Compte parent {1} n'existe pas,
Account {0}: You can not assign itself as parent account,Compte {0}: Vous ne pouvez pas assigner un compte comme son propre parent,
Account: <b>{0}</b> is capital Work in progress and can not be updated by Journal Entry,Le compte: <b>{0}</b> est un compte d'immobilisation en cours et ne peut pas être mis à jour avec une écriture de journal,
Account: {0} can only be updated via Stock Transactions,Compte : {0} peut uniquement être mis à jour via les Mouvements de Stock,
Account: {0} is not permitted under Payment Entry,Compte : {0} n'est pas autorisé dans les écritures de paiement,
Account: {0} with currency: {1} can not be selected,Compte : {0} avec la devise : {1} ne peut pas être sélectionné,
Account,Compte,
Accountant,Comptable,
Accounting Details,Détails comptables,
Accounting Dimension <b>{0}</b> is required for 'Balance Sheet' account {1}.,La dimension comptable <b>{0}</b> est obligatoire pour le compte de 'Bilan' {1},
Accounting Dimension <b>{0}</b> is required for 'Profit and Loss' account {1}.,La dimension comptable <b>{0}</b> est obligatoire pour le compte de 'Compte de résultat' {1},
Accounting Dimension Detail,Détails des dimensions comptables,
Accounting Dimension,Dimension comptable,
Accounting Dimensions ,Dimensions comptables,
Accounting Dimensions,Dimensions comptables,
Accounting Entries,Écritures comptables,
Accounting Entry for Asset,Ecriture comptable pour l'actif,
Accounting Entry for Service,Ecriture comptable liée à des services,
Accounting Entry for Stock,Écriture Comptable pour Stock,
Accounting Entry for {0}: {1} can only be made in currency: {2},Écriture Comptable pour {0}: {1} ne peut être effectuée qu'en devise: {2},
Accounting Journal Rule,Règle de journal comptable,
Accounting Journal,Journal comptable,
Accounting Ledger,Grand livre,
Accounting Masters,Données de base,
Accounting Period overlaps with {0},La période comptable chevauche {0},
Accounting Period,Période comptable,
Accounting entries have already been made in currency {0} for company {1}. Please select a receivable or payable account with currency {0}.,Des écritures comptables ont déjà été réalisées en devise {0} pour la société {1}. Veuillez sélectionner un compte de crédit ou de débit  en devise {0}.,
"Accounting entry frozen up to this date, nobody can do / modify entry except role specified below.","Les écritures comptables sont gelées jusqu'à cette date, personne ne peut ajouter / modifier les entrées sauf le rôle spécifié ci-dessous.",
Accounting journal entries.,Les écritures comptables.,
Accounting,Comptabilité,
Accounts Frozen Upto,Comptes gelés jusqu'au,
Accounts Manager,Responsable comptable,
Accounts Payable Ageing,Balance agée fournisseurs,
Accounts Payable Summary,Récapitulatif des comptes créditeurs,
Accounts Payable,Comptes créditeurs,
Accounts Receivable Ageing,Balance agée clients,
Accounts Receivable Credit Account,Compte débiteur à créditer,
Accounts Receivable Discounted Account,Compte débiteur d'affacturage,
Accounts Receivable Summary,Récapitulatif des comptes débiteurs,
Accounts Receivable Unpaid Account,Compte débiteur d'impayés,
Accounts Receivable,Comptes débiteurs,
Accounts Settings,Paramètres de comptabilité,
Accounts User,Comptable,
Accounts table cannot be blank.,Le tableau de comptes ne peut être vide.,
"Accounts, invoices and taxes.","Comptes, factures et taxes",
Accounts,Comptes,
Accrual Journal Entry for salaries from {0} to {1},Ecritures de journal de provisions pour les salaires de {0} à {1},
Accumulated Depreciation Account,Compte d'amortissement cumulé,
Accumulated Depreciation Amount,Montant d'amortissement cumulé,
Accumulated Depreciation as on,Amortissement cumulé depuis le,
Accumulated Depreciation,Amortissement cumulé,
Accumulated Monthly,Cumul mensuel,
Accumulated Values in Group Company,Valeurs accumulées dans la société mère,
Accumulated Values,Valeurs accumulées,
Achieved ({}),Réalisé ({}),
Acquisition Date,Date d'aquisition,
Action Doctype,Doctype Action,
Action Document,Document d'Action,
Action Field,Champ d'Action,
Action Initialised,Action initialisée,
Action Name,Nom de l'Action,
Action if Accumulated Monthly Budget Exceeded on Actual,Mesure à prendre si le budget mensuel accumulé est dépassé,
Action if Accumulated Monthly Budget Exceeded on MR,Mesure à prendre si le budget mensuel accumulé est dépassé avec les requêtes de matériel,
Action if Accumulated Monthly Budget Exceeded on PO,Mesure à prendre si le budget mensuel accumulé a été dépassé avec les bons de commande d'achat,
Action if Annual Budget Exceeded on Actual,Action si le budget annuel est dépassé par rapport aux dépenses réelles,
Action if Annual Budget Exceeded on MR,Action si le budget annuel est dépassé avec les requêtes de matériel,
Action if Annual Budget Exceeded on PO,Action si le budget annuel a été dépassé avec les bons de commande d'achat,
Action if Quality inspection is not submitted,Action si l'inspection de la qualité n'est pas soumise,
Action,Action,
Actions performed,Actions réalisées,
Actions,Actions,
Activates the possibility to set a number of allowed simultaneous bookings for each item in the item master data.,Active la possibilité de définir un nombre de réservations simultanées pour chaque article dans ses données de base.,
Active Leads / Customers,Prospects / Clients Actifs,
Active Leads,Prospects actifs,
Active Shift,Quart actif,
Active,Actif,
Activities,Activités,
Activity Cost exists for Employee {0} against Activity Type - {1},Des Coûts d'Activité existent pour l'Employé {0} pour le Type d'Activité - {1},
Activity Cost per Employee,Coût de l'Activité par Employé,
Activity Cost,Coût de l'Activité,
Activity Name,Nom de l'activité,
Activity Type,Type d'activité,
Activity,Activité,
Actual ,Actuel,
Actual Amount,Montant réel,
Actual Batch Quantity,Quantité en lot réelle,
Actual Cost,Coût réel,
Actual Date,Date Réelle,
Actual Delivery Date,Date de livraison réelle,
Actual End Date (via Time Sheet),Date de Fin Réelle (via la Feuille de Temps),
Actual End Date,Date de fin réelle,
Actual End Time,Heure de Fin Réelle,
Actual Operating Cost,Coût d'Exploitation Réel,
Actual Operation Time,Temps d'Exploitation Réel,
Actual Qty (at source/target),Qté Réelle (à la source/cible),
Actual Qty After Transaction,Qté Réelle Après Transaction,
Actual Qty is mandatory,Qté Réelle est obligatoire,
Actual Qty {0} / Waiting Qty {1},Qté Réelle {0} / Quantité en Attente {1},
Actual Qty: Quantity available in the warehouse.,Qté actuelle: Quantité disponible dans l'entrepôt,
Actual Qty,Quantité Réelle,
Actual Quantity,Quantité réelle,
Actual Start Date (via Time Sheet),Date de Début Réelle (via la feuille de temps),
Actual Start Date,Date de début réelle,
Actual Start Time,Heure de Début Réelle,
Actual Time (in Hours),Durée réelle (en heures),
Actual Time (in hours),Temps actuel (en heures),
Actual Time and Cost,Temps et Coût Réels,
Actual qty in stock,Qté réelle en stock,
Actual type tax cannot be included in Item rate in row {0},Le type de taxe réel ne peut pas être inclus dans le prix de l'Article à la ligne {0},
Actual,Réel,
Add / Edit Prices,Ajouter / Modifier Prix,
Add / Edit Taxes and Charges,Ajouter / Modifier Taxes et Charges,
Add / Manage Email Accounts.,Ajouter / Gérer des comptes email,
Add All Suppliers,Ajouter tous les Fournisseurs,
Add Child,Ajouter un enfant,
Add Comment,Ajouter un commentaire,
Add Customers,Ajouter des Clients,
Add Employees,Ajouter des Employés,
Add Item,Ajouter un Article,
Add Items,Ajouter des Articles,
Add Leads,Ajouter des pistes,
Add Letterhead,Ajouter un en-tête,
Add Loan Security,Ajouter une garantie de prêt,
Add Multiple Tasks,Ajouter plusieurs tâches,
Add Multiple,Ajouter plusieurs,
Add Participants,Ajouter des participants,
Add Quote,Ajouter une citation,
Add Row,Ajouter une ligne,
Add Sales Partners,Ajouter des partenaires commerciaux,
Add Serial No,Ajouter un Numéro de série,
Add Suppliers,Ajouter des Fournisseurs,
Add Timesheets,Ajouter des Feuilles de Temps,
Add Users,Ajouter des Utilisateurs,
Add Weekly Holidays,Ajouter des vacances hebdomadaires,
Add a new address,Ajouter une nouvelle adresse,
Add a new card,Ajouter une nouvelle carte,
Add as invoice item,Créer un poste de facture,
Add cards or custom sections on homepage,Ajouter des cartes ou des sections personnalisées sur la page d'accueil,
Add french bank holidays,Ajouter les jours fériés français,
Add items in the Item Locations table,Ajoutez des articles dans la table de localisation d'articles,
Add more items or open full form,Ajouter plus d'articles ou ouvrir le formulaire complet,
Add notes,Ajouter une note,
Add or Deduct,Ajouter ou déduire,
Add the rest of your organization as your users. You can also add invite Customers to your portal by adding them from Contacts,Ajouter le reste de votre organisation en tant qu'utilisateurs. Vous pouvez aussi inviter des Clients sur votre portail en les ajoutant depuis les Contacts,
Add this card,Ajouter cette carte,
Add to Cart,Ajouter au Panier,
Add to Details,Ajouter aux détails,
Add to Holidays,Ajouter aux vacances,
Add to Transit,Ajouter au transit,
Add to an existing quotation,Ajouter à un devis existant,
Add to an existing sales order,Ajouter à une commande client existante,
Add to cart,Ajouter au panier,
Add unused leaves from previous allocations,Ajouter les congés inutilisés des précédentes allocations,
"Add users to your organization, other than yourself.","Ajoutez des utilisateurs, autres que vous-même, à votre organisation.",
Add your company logo. For reference only or to be used in custom print formats.,Ajoutez le logo de votre société. Pour information ou pour utiliser dans un format d'impression personnalisé.,
Add/Edit Coupon Conditions,Ajouter/Modifier les conditions de la promotion,
Add/Remove Recipients,Ajouter/Supprimer des destinataires,
Add,Ajouter,
Added to details,Ajouté aux détails,
Added {0} ({1}),Ajouté {0} ({1}),
Added,Ajouté,
Additional Amount,Montant additionnel,
Additional Charges,Frais Supplémentaires,
Additional Cost,Frais Supplémentaire,
Additional Costs,Frais Supplémentaires,
Additional DIscount Amount,Montant de la réduction additionnelle,
Additional DIscount Percentage,Pourcentage de réduction additionnel,
Additional Details,Détails Supplémentaires,
Additional Discount Amount (Company Currency),Montant de la Remise Supplémentaire (Devise de la Société),
Additional Discount Amount,Montant de la Remise Supplémentaire,
Additional Discount Percentage,Pourcentage de réduction supplémentaire,
Additional Discount and Coupon Code,Remises additionnelles et codes promotionnels,
Additional Discount,Remise Supplémentaire,
Additional Information,Informations additionnelles,
Additional Notes,Notes additionnelles,
Additional Operating Cost,Coût d'Exploitation Supplémentaires,
Additional PF,Caisse de prévoyance additionnelle,
Additional Salary Component Exists.,Une composante salariale additionnelle existe,
Additional Salary ,Salaire additionnel,
Additional Salary: {0} already exist for Salary Component: {1} for period {2} and {3},Salaire additionnel: {0} existe déjà pour la composante de salaire: {1} pour la période {2} et {3},
Additional Salary,Salaire supplémentaire,
Additional information regarding the customer.,Informations supplémentaires concernant le client.,
Address & Contact,Adresse &amp; Contact,
Address & Contacts,Adresse &amp; Contacts,
Address Desc,Adresse Desc,
Address HTML,Adresse HTML,
Address Line 1,Adresse,
Address Line 2,Complément d'adresse,
Address Name,Nom de l'Adresse,
Address Title,Titre de l'Adresse,
Address Type,Type d'adresse,
Address and Contact,Adresse et Contact,
Address and Contacts,Adresse et contacts,
Address of Organizer,Adresse de l'organisateur,
Address used to determine Tax Category in transactions.,Adresse utilisée pour déterminer la catégorie de taxes dans les transactions,
Address,Adresse,
Addresses,Adresses,
Administrative Expenses,Charges Administratives,
Administrative Officer,Agent Administratif,
Administrator,Administrateur,
Advance Account,Compte d'acompte,
Advance Amount,Montant de l'acompte,
Advance Paid,Acompte/avance payé,
Advance Payments,Acomptes et avances,
Advance account currency should be same as company currency {0},La devise du compte d'acompte doit être la même que la devise de la société {0},
Advance amount cannot be greater than {0} {1},Montant de l'acompte ne peut être supérieur à {0} {1},
Advance amount,Montant de l'acompte,
"Advance paid against {0} {1} cannot be greater \
						than Grand Total {2}",L'acompte versée pour {0} {1} ne peut être supérieure \ au total général {2},
Advance,Acompte,
Advanced Settings,Paramètres avancés,
Advances,Acomptes,
Advertising,Publicité,
Aerospace,Aérospatial,
After Date,Après la date,
After payment completion redirect user to selected page.,"Le paiement terminé, rediriger l'utilisateur vers la page sélectionnée.",
Against Account,Pour le compte,
Against Blanket Order,Pour la commande avec limites,
Against Delivery Note Item,En contrepartie d'un article de bon de livraison,
Against Docname,Pour le docName,
Against Doctype,Contre Doctype,
Against Document Detail No,Pour le Détail du Document N°,
Against Document No,Pour le Document N°,
Against Expense Account,Pour le Compte de Charges,
Against Income Account,Pour le Compte de Produits,
Against Journal Entry {0} does not have any unmatched {1} entry,L'Écriture de journal {0} n'a pas d'entrée non associée {1},
Against Journal Entry {0} is already adjusted against some other voucher,L'Écriture de journal {0} est déjà ajustée par un autre bon,
Against Loan ,Pour le prêt,
Against Loan: {0},Pour le prêt: {0},
Against Loan:,Pour le prêt:,
Against Loan,Pour le prêt,
Against Sales Invoice Item,Pour l'Article de la Facture de vente,
Against Sales Invoice,Pour la Facture de vente,
Against Sales Order Item,Pour l'Article de la Commande Client,
Against Sales Order,Pour la Commande Client,
Against Stock Entry,Pour l'écriture de stock,
Against Supplier Invoice {0} dated {1},Pour la Facture Fournisseur {0} datée {1},
Against Voucher Type,Pour le Type de Bon,
Against Voucher,Pour le Bon,
Against,Contrepartie,
Age (Days),Âge (Jours),
Ageing Based On,Basé Sur le Vieillissement,
Ageing Range 1,Balance Agée 1,
Ageing Range 2,Balance Agée 2,
Ageing Range 3,Balance Agée 3,
Ageing Range 4,Balance agée 4,
Ageing Report Based On ,Rapport agé basé sur,
Agenda,Agenda,
Agent Details,Détails de l'agent,
Agents,Agents,
Age,Âge,
"Aggregate group of **Items** into another **Item**. This is useful if you are bundling a certain **Items** into a package and you maintain stock of the packed **Items** and not the aggregate **Item**. 

The package **Item** will have ""Is Stock Item"" as ""No"" and ""Is Sales Item"" as ""Yes"".

For Example: If you are selling Laptops and Backpacks separately and have a special price if the customer buys both, then the Laptop + Backpack will be a new Product Bundle Item.

Note: BOM = Bill of Materials","Regroupement d' **Articles** dans un autre **Article**. Ceci est utile si vous regroupez certains **Articles** dans un lot et que vous maintenez l'inventaire des **Articles** du lot et non de l'**Article** composé. L'**Article** composé aura ""Article En Stock"" à ""Non"" et ""Article À Vendre"" à ""Oui"". Exemple : Si vous vendez des Ordinateurs Portables et Sacs à Dos séparément et qu'il y a un prix spécial si le client achète les deux, alors l'Ordinateur Portable + le Sac à Dos sera un nouveau Produit Groupé. Remarque: nomenclature = Liste
Des Matériaux",
Agreement Details,Détails de l'accord,
Agriculture,Agriculture,
Airline,Compagnie Aérienne,
All Accounts,Tous les comptes,
All Addresses.,Toutes les adresses.,
All BOMs,Toutes les nomenclature,
All Contact,Tout Contact,
All Contacts.,Tous les contacts.,
All Customer Contact,Tout Contact Client,
All Customer Groups,Tous les Groupes Client,
All Day,Toute la journée,
All Departments,Tous les départements,
All Employee (Active),Tous les Employés (Actifs),
All Item Groups,Tous les groupes d'articles,
All Jobs,Tous les Emplois,
All Lead (Open),Toutes les pistes (Ouvertes),
All Products or Services.,Tous les produits ou services.,
All Products,Tous les produits,
All Sales Partner Contact,Tous les Contacts de Partenaires Commerciaux,
All Sales Person,Tous les Commerciaux,
All Sales Transactions can be tagged against multiple **Sales Persons** so that you can set and monitor targets.,Toutes les Transactions de Vente peuvent être assignées à plusieurs **Commerciaux** pour configurer et surveiller les objectifs.,
All Supplier Contact,Tous les Contacts Fournisseurs,
All Supplier Groups,Tous les groupes de fournisseurs,
All Supplier scorecards.,Toutes les fiches d'évaluation fournisseurs.,
All Territories,Tous les Territoires,
All Warehouses,Tous les Entrepôts,
All bank transactions have been created,Toutes les transactions bancaires ont été créées,
All communications including and above this shall be moved into the new Issue,"Toutes les communications, celle-ci et celles au dessus de celle-ci incluses, doivent être transférées dans le nouveau ticket.",
All day,Toute la journée,
